,Role,Company,Location,Contract,Salary,Job_description
0,TEMPORARY Release of Information Specialist,ScanSTAT Technologies,,,,"['Overview of Position: We are hiring some TEMPORARY Release of Information (ROI) Specialists to assist the ROI department with growing demands on an as needed basis. We are seeking candidates who are retrieval specialists, have release of information experience, understanding of HEDIS, Medicare Risk Adjustments (MRA), chart retrievals for insurance requests, etc. This is a remote position that allows you to work from the comfort of your own home office environment and hours are flexible 25-40 hours per week and can be worked during the day, evening or weekends. **This is a Temporary Assignment - up to 60 days, could go longer and have opportunity for temp to perm without any guarantees. This position is not eligible for health benefits, PTO or paid holidays. Paid for hours worked only.** In addition to demonstrating ScanSTAT Technologies values applicable to all positions, the TEMPORARY ROI Specialist is responsible for the following: Duties and Tasks: Accomplish a timely turnaround of the daily volume Correctly report volume of assigned daily work Communicate technical issues in a timely manner to the assigned client CSC Test resolved technical issues and report back findings Follow a pre-defined process, refer to company internal documentation, and find resources to make decisions Effectively navigate within 2-4 Tier 1 EHRs on individual and simultaneous basis Learn and understand assigned client protocols and Service Level Agreements Proactively report trends and changes in client patterns to client assigned CSM/CSC. Track and log time accordingly through Payroll software Attend weekly conference calls and training Strive to achieve a high level of accuracy of 90% or better Effectively organize and manage the business day to ensure all assigned medical records requests remain compliant as well as responding to email, Lync, assigned errors, company education etc. Understand and comply with company compliance standards Understands that this role requires specific responsibilities for protecting sensitive data Other duties as assigned  Supervisory Responsibilities: This position has no supervisory responsibilities. Required and/or Desired Skills and Experience: Extensive knowledge of commonly used concepts, practices and procedures within healthcare is a plus, but not required. Employee should be proficient with computers, including Microsoft Office, the use of multiple monitors, and have the ability to learn and adapt to all company-specific software. Expected to navigate efficiently through multiple windows and applications running concurrently.  Physical Demands: While performing the duties of this position the employee is regularly required to sit and talk and hear. The employee is regularly required to use hands to finger, handle or feel and reach with hands and arms. Work Environment: This job is a remote clerical position and requires familiarity with standard office equipment such as computers and phones. You must have a designated space, strong internet and computer to complete this role. Because you will be handling confidential client information, you must work from your home office. You cannot work in a public location (like a coffee shop or the library). In some instances, computer equipment will be supplied by the Company. Professionalism Expectations: All employees are expected to exhibit exemplary customer service skills, both with external customers, vendors, visitors, co-workers, and management staff. Their written and verbal communication skills should be concise and effective, they should aspire to excellence in both work and customer service, they should show courtesy to all they encounter while representing the Company. Position: Release of Information Specialist (ROI Specialist) Department: Release of Information (ROI) FLSA Status: TEMPORARY - 25-40 hrs per week Location: Remote Hours: Anytime (day, evenings, weekends) Pay: $15 hr ScanSTAT Technologies is an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.  Location - REMOTE']"
1,Customer Service Representative-Express Scripts,Cigna,,,,"['This role will be a work from home position. All candidates must live within 50 miles of Bloomington, MN. Have you heard? Express Scripts is now part of Cigna. Together, we’ve got big plans. How big, you ask? We want to change health care to make it more affordable, more personalized, and more focused on helping the whole person to achieve better health outcomes. And that’s only the beginning. Read on to learn more about working with us. Transform healthcare and contribute to our industry-leading organization as a Patient Care Advocate . Our Patient Care Advocates are dedicated team members who excel at customer service, helping us elevate our patient care to new heights. In this crucial role, you are on the front lines with patients, responding to phone inquiries and addressing each with care, detail, and most importantly, empathy.  Here’s a little more on how you’ll make a difference: Help patients understand their pharmacy benefits better. Use the knowledge you gain from training, your problem-solving skills and support from your team answer patient calls effectively. Help us keep track of our patient interactions. While on calls, use your expert listening skills to get to the heart of a patient’s question quickly and document all interactions in real-time. Ensure patients are equipped with the best advice. Identify and empathetically address patient concerns and, if necessary, escalate appropriately.  What You Should Have: High School Diploma / GED required 1 year of relevant experience General PC knowledge including Microsoft Office Excellent communication skills (verbal and written)  What you’ll love about working here: Fun, friendly, and unique culture – Bring your whole self to work every day! Choice of three unique medical plans Prescription Drug, Dental, Vision and Life Insurance Employee Contributions for HRA and HSA accounts 401K with Company Match Paid Time Off and Paid Holidays Tuition Assistance  About Cigna Cigna Corporation (NYSE: CI) is a global health service company dedicated to improving the health, well-being and peace of mind of those we serve. We offer an integrated suite of health services through Cigna, Express Scripts, and our affiliates including medical, dental, behavioral health, pharmacy, vision, supplemental benefits, and other related products. Together, with our 74,000 employees worldwide, we aspire to transform health services, making them more affordable and accessible to millions. Through our unmatched expertise, bold action, fresh ideas and an unwavering commitment to patient-centered care, we are a force of health services innovation.  When you work with Cigna, you’ll enjoy meaningful career experiences that enrich people’s lives while working together to make the world a healthier place. What difference will you make? To see our culture in action, search #TeamCigna on Instagram.  Qualified applicants will be considered without regard to race, color, age, disability, sex, childbirth (including pregnancy) or related medical conditions including but not limited to lactation, sexual orientation, gender identity or expression, veteran or military status, religion, national origin, ancestry, marital or familial status, genetic information, status with regard to public assistance, citizenship status or any other characteristic protected by applicable equal employment opportunity laws.  If you require reasonable accommodation in completing the online application process, please email: SeeYourself@cigna.com for support. Do not email SeeYourself@cigna.com for an update on your application or to provide your resume as you will not receive a response.']"
2,Healthcare Eligibility Analyst - US Remote,Performant Financial Corporation,,,,"['We are seeking highly-skilled, talented eligibility analysts with strong knowledge of healthcare eligibility, medical terminology, eligibility validation practices, Coordination of Benefits and Third Party Liability (COB/TPL), an Medicare Secondary Payer (MSP); proven ability to gather information, answer questions, and resolve primacy issues through coordination of benefits when multiple forms are of coverage are available; and communicate effectively with carriers to update validated eligibility records and primacy.  As a Healthcare Eligibility Analyst, you will review assigned records, investigate coverage, and determine primacy to maximize revenue for our client’s recovery programs with responsibilities to include, but not limited to:  Essential Duties:  Review eligibility and other documentation to verify current payer order of benefits. Leverage your knowledge and expertise in COB/TPL/MSP to review documentation and eligibility, investigate the file to determine proper order of benefits and answer questions and/or provide information that will bring to successful payment or other appropriate account action. Contact Healthcare Insurance carriers, employers, and/or providers regarding eligibility discrepancies Educate Healthcare Insurance carriers, employers, and/or providers on the Coordination of Benefits Rules Analyze and understand written communication from insurance companies including explanation of benefits (EOBs) Support internal groups or functions with gathering and interpretation of the eligibility work to development with knowledge base and understanding of key concepts and terminology in healthcare eligibility. Effectively follow and contribute to continuous improvement of scripts, guidelines and other tools provided to have professional conversations with Healthcare Insurance carriers, employers, and/or providers Efficiently and diligently work through assigned inventories to meet productivity metrics assigned by management. Leverage your knowledge and expertise to research various scenarios that will bring to successful resolution and payment (e.g. eligibility research and claims appeals) Initiate applicable action and documentation based upon insurance carriers selected Update company systems with clear and accurate information such as point of contact, updated demographic information, notes from contact from outbound and inbound calls and/or attempts, as well as account status updates as applicable Arrives to work on-time, works assigned schedule, and maintains regular good attendance. Follows and complies with company, departmental and client program policies, processes, and procedures. Responsible for utilizing resources to ensure compliance with client requirements, HIPAA, as well as applicable federal or state regulations. Successfully completes, retains, applies, and adheres to content in required training as assigned. Consistently achieve or exceed established metrics and goals assigned, including but not limited to, production and quality. Completes required processes to obtain client required clearances as well as company regular background and/or drug screening; and successfully passes and/or obtains and maintains clearances statuses as a condition of employment. (note: client/government clearance requirements are not determined or decisioned by Performant.) Demonstrates Performant core values in performance of job duties and all interactions. Correct areas of deficiency and oversight received from quality reviews and/or management. Work overtime as may be required. Performs other duties as assigned.   Required Skills and Knowledge:  Knowledge and experience with Healthcare, medical terminology, and medical coding, preferably in a role generating, auditing, recovery and/or researching the same. Experience with Coordination of Benefits, Third Party Liability, and/or Medicare Secondary Payer Proven ability to gather and interpret Explanation of Benefits (EOB) to answer questions and resolve primacy issues. Ability to communicate professionally and effectively with providers, carriers, beneficiaries and other audiences regarding eligibility and/or Coordination of Benefits (COB). Proven ability to gather and interpret Explanation of Benefits (EOB) and answer questions and resolve issues with payment Protected patients’ privacy, understands and adheres to HIPAA standards and regulations. Remarkable interpersonal and communication skills; ability to listen, be succinct and demonstrate positive customer service attitude. Self-motivated and thrives in a fast-paced business operations department performing multiple tasks cohesively, with keen attention to detail. Proficiency using standard office technology; computer, various applications and navigation of on-line tools and resources, keyboard, mouse, phone, headset. Ability to apply knowledge learned in training from various forms (memos, classroom training, on-line training, meetings, discussions, individual coaching, etc.). Ability to follow process, procedures, and regulations in the workplace. Ability to effectively perform work independently and work cooperatively with others to promote a positive team environment. Ability to adapt quickly and transition effectively to changing circumstances, assignments, programs, processes. Ability to consistently perform job responsibilities. Ability to obtain and maintain client required clearances as well as pass company regular background and/or drug screening. Completion of Teleworker Agreement upon hire, and adherence to the Agreement (and related policies and procedures) including, but not limited to: able to navigate computer and phone systems as a user to work remote independently using on-line resources, must have high-speed internet connectivity, appropriate workspace able to be compliant with HIPAA, safety & ergonomics, confidentiality, and dedicated work focus without distractions during work hours.   Physical Requirements:  Job is in a busy standard is performed in an office environment with moderate noise level (or may be home-office setting subject to Company approval and Teleworker Agreement), sits at a desk during scheduled shift, uses office phone or headset provided by the Company for calls, making outbound calls and answering inbound return calls using an office phone system; views a computer monitor, types on a keyboard and uses a mouse. Reads and comprehends information in electronic (computer) or paper form (written/printed). Sit/stand 8 or more hours per day; has the option to stand as needed while on calls; reach as needed to use office equipment. Consistently viewing a computer screen and types frequently, but not constantly, using a keyboard to update accounts. Consistently communicates on the phone as required primarily within the department and company and may include client contacts or other third-party depending on assignment with account holders, may dial manually when need or use dialer system; headset is also provided. Occasionally lift/carry/push/pull up to 10lbs.   Education and Experience:  Minimum 2 years of relevant experience, including Healthcare, demonstrating depth of knowledge and capability required for the position. Minimum 2 years of experience in customer service, billing reclamation or recovery, or call center role demonstrating application of similar skills. High School diploma or GED   Other Requirements  Ability to obtain and maintain client required clearances as well as pass company regular background and/or drug screening. Must submit to and pass pre-hire background check, as well as additional checks throughout employment. Must be able to pass a criminal background check; must not have any felony convictions or specific misdemeanors, nor on state/federal debarment or exclusion lists. Must submit to and pass drug screen pre-employment (and throughout employment). Performant is a government contractor. Certain client assignments for this position requires submission to and successful outcome of additional background and/or clearances throughout employment with the Company.  Visa sponsorship is not available.  Job Profile is subject to change at any time.  EEO  Performant Financial Corporation is an Equal Opportunity Employer.  Performant Financial Corporation is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, national origin, ancestry, age, religion, gender, gender identity, sexual orientation, pregnancy, age, physical or mental disability, genetic characteristics, medical condition, marital status, citizenship status, military service status, political belief status, or any other consideration made unlawful by law.  NO AGENCY SUBMISSIONS WITHOUT PERFORMANT AUTHORIZED AGENCY AGREEMENT AND APPROVED PERFORMANT JOB ORDER']"
3,Customer Service Representative-Patient Care-Express Scripts,Cigna,,,,"['This role will be a work from home position. All candidates must live within 50 miles of Bloomington, MN. Have you heard? Express Scripts is now part of Cigna. Together, we’ve got big plans. How big, you ask? We want to change health care to make it more affordable, more personalized, and more focused on helping the whole person to achieve better health outcomes. And that’s only the beginning. Read on to learn more about working with us. Transform healthcare and contribute to our industry-leading organization as a Patient Care Advocate . Our Patient Care Advocates are dedicated team members who excel at customer service, helping us elevate our patient care to new heights. In this crucial role, you are on the front lines with patients, responding to phone inquiries and addressing each with care, detail, and most importantly, empathy.  Here’s a little more on how you’ll make a difference: Help patients understand their pharmacy benefits better. Use the knowledge you gain from training, your problem-solving skills and support from your team answer patient calls effectively. Help us keep track of our patient interactions. While on calls, use your expert listening skills to get to the heart of a patient’s question quickly and document all interactions in real-time. Ensure patients are equipped with the best advice. Identify and empathetically address patient concerns and, if necessary, escalate appropriately.  What You Should Have: High School Diploma / GED required 1 year of relevant experience General PC knowledge including Microsoft Office Excellent communication skills (verbal and written)  What you’ll love about working here: Fun, friendly, and unique culture – Bring your whole self to work every day! Choice of three unique medical plans Prescription Drug, Dental, Vision and Life Insurance Employee Contributions for HRA and HSA accounts 401K with Company Match Paid Time Off and Paid Holidays Tuition Assistance  About Cigna Cigna Corporation (NYSE: CI) is a global health service company dedicated to improving the health, well-being and peace of mind of those we serve. We offer an integrated suite of health services through Cigna, Express Scripts, and our affiliates including medical, dental, behavioral health, pharmacy, vision, supplemental benefits, and other related products. Together, with our 74,000 employees worldwide, we aspire to transform health services, making them more affordable and accessible to millions. Through our unmatched expertise, bold action, fresh ideas and an unwavering commitment to patient-centered care, we are a force of health services innovation.  When you work with Cigna, you’ll enjoy meaningful career experiences that enrich people’s lives while working together to make the world a healthier place. What difference will you make? To see our culture in action, search #TeamCigna on Instagram.  Qualified applicants will be considered without regard to race, color, age, disability, sex, childbirth (including pregnancy) or related medical conditions including but not limited to lactation, sexual orientation, gender identity or expression, veteran or military status, religion, national origin, ancestry, marital or familial status, genetic information, status with regard to public assistance, citizenship status or any other characteristic protected by applicable equal employment opportunity laws.  If you require reasonable accommodation in completing the online application process, please email: SeeYourself@cigna.com for support. Do not email SeeYourself@cigna.com for an update on your application or to provide your resume as you will not receive a response.']"
4,Healthcare Data Analyst,pulseData,,,,"['pulseData is working to transform kidney care. We work with value-based organizations and their care teams to provide an intelligent data platform to help deliver precise care at less cost. Our mission is to deliver proactive, precise care to every chronic disease sufferer, eliminating preventable sickness. Chronic Kidney Disease (CKD) is a substantially under-diagnosed condition that affects 37 million people in the US. Clinical and care management teams use our platform to identify the most at risk individuals and coordinate their care needs to eliminate bad events, and deliver better clinical outcomes at a lower cost. Our clients are health care enterprises: kidney clinics and nephrology practices, large health systems, managed care and health insurance companies. Together we use data science to deliver more human care. The role: As a healthcare data analyst, you will be part of the clinical domain expert panel of the team. Assists with defining standard data quality checks at appropriate stages to ensure all data meets requirements for operations, diagnostics and reporting. Provides internal model validation using iterative medical chart reviews, generating insights, identifying data quality issues to equip our data science team with best clean data for deployment-ready models. Combines clinical domain knowledge and data skills to generate useful insights from data. Works with the data science and engineering team to normalize EHR and claims data into bespoke data schema. If you want to learn and contribute to an advanced healthcare data analytics platform, pulseData is your team. We are looking for candidates who want to grow and thrive in this setting. Your skills: Be able to make sense of medical and clinical terminology and context, be able to review medical charts as needed Exposure to data-oriented programming skills (Python, R, and Apache Spark) and/or intense desire to learn Understand data wrangling (SQL, Excel, R, pandas) and have a track record of data experience. Effectively communicate clinical learning with the rest of the team, contribute features, and write code, be all-around fun and helpful Healthcare background is required Some benefits: Remote working 3 weeks paid vacation Top tier medical / dental / vision insurance, HSA & FSA, 401k option Gym discount, commuter discount Location: While pulseData is based in New York, the location of this position is flexible. If the candidate is based remotely it will be expected that they travel to New York on a consistent, periodic cadence once conditions are safe for business travel to resume.']"
5,Medical Scribe- Training Provided- Full-Time AND Part-Time Available,AQuity Solutions,,,,"['Virtual Medical Scribe- AQuity Solutions  Location: Remote Full-Time or Part-Time   Company Description:  Headquartered in Cary, NC, a suburb of Raleigh, Aquity Solutions employs more than 7,000 clinical documentation production staff throughout the U.S., India, Canada, and Australia. With over 40 years of experience and recognized by both KLAS and Black Book as the top outsourced transcription service vendor, Aquity Solutions is focused on delivering superior business results. Aquity Solutions provides healthcare professionals with key services including: Medical Scribing, Interim HIM Services, Medical Coding and Medical Transcription.  Position Description:  Imagine if there was a chance to step into a career that allows you to understand what it takes to become a healthcare practitioner working directly with a Physician 1 on 1. As one of Aquity Solutions Virtual Medical Scribes you have the chance to do just that!  Every day you will get to enjoy paid shadowing with a provider and see what it takes to analyze, document, and diagnose a patient. You will understand how a physician approaches a patient visit, how to interpret symptoms, and learn how to help each patient by observing a physician in real time. All the while, you get to work in the comfort of your own home allowing for a more flexible and fluid schedule!  As one of Aquity Solutions medical scribes, you become a physician’s direct personal assistant helping physicians all across the nation! You will become the critical link for the physicians to handle all of their electronic medical records patient to patient. You will get to interpret and document the doctor patient visit and the clinical charting of each patient in its entirety.  YOU WILL… Have a Competitive Wage and Benefits! Work Directly with Physicians Gaining Valuable Clinical Charting Experience Network Directly w/Physicians Draft HPIs, PEs, ROSs, and Analyze Lab Reports Provide EHR Charting Support Directly for Physicians as a Charting Assistant in Real Time   Requirements...  Have Recent Experience as a Medical Scribe, Medical Assistant or Medical Transcriptionist OR; Have completed courses or training in Anatomy and Physiology and Medical Terminology and have a strong desire to be trained as a Medical Scribe The ability to work from home and a secure reliable internet connection at home. Availability Monday through Friday during outpatient office hours between the hours of 7 A.M. - 7 P.M. EST or PST. Minimum 3 shifts a week Monday - Friday with the ability to work an 8 to 9 hour shift time each week between the hours of 7 A.M. - 7 P.M. Minimum of 10 months of employment with us. Strong computer, typing, and listening skills. Ability to type 45 – 50 wpm or more. 18 years of age or older. Authorized to work in the United States. Currently live within the borders of the United States.  IT WOULD BE AWESOME IF YOU ALSO...  Have a training certification in an EHR/EMR (Epic, Cerner, Athena, etc.) Specialty experience in EHR documentation with outpatient clinics Strong leadership skills Planning on going into medical, physician assistant, or nursing school in the future Looking for a potential career! Good understanding of technology and how it integrates with the medical industry A passion for healthcare You would like to work from home Able to balance school and work  A LITTLE MORE ABOUT US...  This is a work from home position with a large opportunity for growth! We offer a competitive wage and benefits Our top-notch benefits package includes medical, dental and vision coverage, short-term and long-term disability, 401K savings plan, and paid-time-off. We are an Equal Opportunity Employer.']"
6,Health Data Analyst (Remote Position - Tableau experience required),AM LLC,,,,"[""Overview:  AM Trace LLC has an immediate opening for a full-time Health Data Analyst (Tableau required) to support our contract tracing program. This is a remote position and will begin immediately.  The successful Health Data Analyst will have extensive experience collecting and cleaning healthcare data, performing analyses, and the ability to produce requested reports using Tableau. Responsibilities: Become highly familiar with the collected COVID tracing data structure, data elements, and idiosyncrasies of data collection. Develop full understanding of the strengths and limitations of the data and the implications for data analyses. Provide consultation, as needed, regarding optimal statistical methods and analysis designs. Perform required data cleaning and manipulation prior to analyses. Identify and troubleshoot unanticipated problems with the analyses or results. Communicate results to investigators and generate all necessary figures and tables. Qualifications: Bachelor's degree (Master’s preferable) in biostatistics or related field (e.g., epidemiology) Use visualization best practices in Tableau to enhance business understanding through artistic, simple, and concise data storytelling. High level attention to detail. Minimum of 3 years of experience in medical/clinical data manipulation and analyses. Strong proficiency with Tableau and Tableau Prep Builder. Experience designing and conducting analyses of complex health data. Strong English language communication skills. Note: Due to the high volume of applicants, we may be unable to respond to telephone or email inquiries, but we are reviewing and considering all applications in the order in which they were submitted on a rolling basis.""]"
7,Healthcare Data Analyst,MetroPlus Health Plan,,,,"['Marketing Statement MetroPlus Health Plan provides the highest quality healthcare services to residents of Bronx, Brooklyn, Manhattan, Queens and Staten Island through a comprehensive list of products, including, but not limited to, New York State Medicaid Managed Care, Medicare, Child Health Plus, Exchange, Partnership in Care, MetroPlus Gold, Essential Plan, etc. As a wholly-owned subsidiary of NYC Health + Hospitals, the largest public health system in the United States, MetroPlus’ network includes over 27,000 primary care providers, specialists and participating clinics. For more than 30 years, MetroPlus has been committed to building strong relationships with its members and providers to enable New Yorkers to live their healthiest life. Position Overview The purpose of this position to MetroPlus Health Plans is to utilize the insurance plan’s data to provide financial analysis related to the provision, payment and reporting of health care services. The position is also responsible for research, collection, analysis and presentation of the Plan’s utilization and financial data. Candidates interested must work with multiple departments within the Plan in an effort to coordinate analytics to enhance operational efficiencies. Reports to Director of Finance & Regulatory Reporting. Job Description Prepare financial analyses on various aspects of the financial operations of the Plan including revenues, expenses, utilization and membership. Prepare financial analyses of medical service from large shared databases utilizing queries and multiple level extracts. Participate in the production and quality review of monthly and regulatory reports, including the Medicaid Managed Care Operating Report (MMCOR). Prepare projection analyses on claims and utilization, including underlying trends and risk analysis. Prepare documentation of all reporting and analysis. Special projects and other related duties as assigned. Review and update logic for claims analysis Reconcile and prepare monthly bills to ensure payment to various vendors Health Home Program Management Create quarterly reporting package for executives Communicate quarterly with Actuaries for completion of the UCL Perform managerial duties to oversee staff’s completion of tasks Minimum Qualifications Bachelor Degree with a minimum of 5 years of experience Industry related (business, health care, consulting, insurance, government). Insurance operations experience preferred Proficiency in Microsoft Excel, Access and Word are necessary SQL Query skill is required. Excellent verbal, written and mathematical skills. Experience with statistical systems and data report writers. Professional Competencies Integrity and Trust Customer Focus Functional/Technical skills Written/Oral Communication']"
8,Patient Intake Coordinator,Legacy Heart Care,,,,"[""We’re looking for a passionate, ambitious, and well-spoken Patient Intake Coordinator. With a desire to “wow”, you will act as the initial point of contact for our newly referred patients, providing world-class service and offering an engaging, empathetic experience over the phone as you guide them through their initial introduction to our organization. In many cases you are the first impression to the people we get to serve every day.  About You You're a values-centered person with experience in phone sales and comfortable with medical terminology. You love to connect with people, hear their stories, and can maintain a positive attitude in the face of rapidly changing circumstances. You are detailed oriented, highly organized, and look to find a solution in any situation. You have an outgoing personality to create extraordinary experiences with patients and have the ability to share your positivity and excitement with others around you. You’re an enthusiastic team player that is to roll up your sleeves and help out.  About Us Legacy Heart Care is a values-based and mission-driven healthcare organization which delivers innovative, non-invasive, outpatient cardiovascular Enhanced External Counterpulsation (EECP) Flow Therapy. Since 2003, we've touched the lives of over twenty thousand patients across the country, partnering with over 900 care providers.  What Comes Next Our online application will give you the ability to apply for this role as a complete person, not just a resume. We want to understand not just your qualifications, but also your personality traits and workplace preferences - after all, we're going to be spending a lot of time together. After you've applied, we'll reach out to you! Powered by JazzHR DLQmwJQuAk""]"
9,Healthcare Documentation Specialist - MA (Remote),"Wellbox, Inc.",,,,"['Position Summary Wellbox is a growing healthcare company that provides innovative chronic, preventative, and virtual care management solutions. These comprehensive solutions help assess and improve the health outcomes of our patients. We are seeking a full-time Healthcare Documentation Specialist (HDS) to learn the Electronic Health Records in which we work and ensure that encounters are documented correctly. Essential Functions Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Review and complete CCM documentation in a variety of EHRs Provide feedback to Chronic Care Coordinators (CCCs) to increase accuracy and quality Ensure notes are correctly delivered for billing Bridge communication between partnered providers and CCCs Observe HIPAA guidelines Position Type and Expected Hours of Work This is a full-time position. Hours of business are Monday - Friday 8:00 am - 4:30 pm ET. Required Education and Experience Must be a Medical Assistant with CURRENT certification Familiar with medical terminology, basic anatomy and physiology, and pharmacology Strong written communication skills and excellent grammar Familiarity with Windows platform, Microsoft Office Suite, and computer competency Experience working in an EHR']"
